Lat,Lon,Pop Density,Intersections,Pedways,Bikeways,POIs,Transit,Retail,WalkScore
40.7039,-73.8031,68798.08,92.63,1008.72,1.91,239.37,106.63,0,97
40.5757,-74.1179,15378.12,99.95,360.01,1.27,892.54,19.74,0.64,90
40.5815,-73.8342,16233.23,29.28,199.9,3.82,34.7,18.14,0,87
40.8688,-73.8641,87491.8,87.54,252.42,27.37,27.06,30.56,0,88
40.6848,-74.0068,452.17,64.3,676.41,17.19,232.37,10.82,0,88
40.639,-74.1405,23024.84,59.52,334.54,4.46,119.05,13.37,0,68
40.7136,-73.789,24125,92.95,756.62,0,191.3,48.7,0,80
40.5475,-74.228,601.07,21.01,23.24,0,387.06,6.37,0,38
40.6301,-74.189,982.9,10.82,29.6,0.95,408.71,0,0,9
40.5679,-74.1808,27.39,35.33,115.55,3.18,555.13,7.64,1.91,27
40.8785,-73.8633,54560.98,73.85,174.43,31.19,20.69,32.79,0,88
40.6837,-73.9439,63709.68,74.17,872.17,0.95,223.14,86.58,0,96
40.5814,-73.891,6.52,6.37,42.65,3.18,8.59,0.95,0,7
40.7518,-73.9012,43180.56,88.49,942.83,17.51,193.53,67.16,5.73,87
40.5893,-73.9617,31630.77,107.91,972.12,12.41,195.44,57.93,0,92
40.6322,-74.0205,74073.53,77.03,1088.3,17.51,160.11,77.67,0,92
40.747,-73.861,35607.14,103.45,980.08,12.73,112.68,42.34,0,96
40.7952,-73.9322,42187.5,43.61,457.41,22.6,123.82,38.52,0,89
40.5729,-74.1947,27.39,2.23,7.64,0,58.89,0.95,0.64,4
40.6286,-73.9457,41776.12,80.21,940.61,2.86,62.71,57.3,0.32,90
40.7847,-73.8227,19851.19,87.22,597.15,2.23,30.24,16.23,0.64,68
40.6081,-73.9018,16395.18,28.33,268.34,0.95,5.73,6.05,0,32
40.6732,-73.8729,56000,79.26,1280.88,7,31.19,75.44,0,83
40.7364,-73.7137,14530.47,114.91,136.55,1.59,49.66,17.19,1.59,89
40.6718,-73.8836,53500,59.84,1437.81,7,30.24,62.07,0,72
40.543,-74.2119,13926.44,87.22,202.76,6.37,390.88,5.09,0.32,74
40.5989,-74.0774,12521.9,106,265.79,0.32,234.59,17.83,0.64,81
40.6503,-73.9579,27732.56,65.25,819.33,12.1,183.98,55.7,0.95,98
40.5193,-74.1875,3503.01,20.05,91.35,12.41,294.12,4.77,0,11
40.9006,-73.888,31.13,12.41,42.02,4.14,16.23,2.55,0.32,15
40.8234,-73.8603,42652.41,69.39,771.26,23.55,49.97,32.15,0.64,87
40.8636,-73.8975,70151.52,101.54,661.45,6.68,121.59,54.75,0,98
40.734,-74.0078,59593.75,104.41,930.1,15.28,615.93,58.25,0,100
40.5816,-74.168,11112.1,80.53,324.99,7,3633.83,8.28,2.23,72
40.9047,-73.8476,43602.15,45.52,48.7,8.59,32.79,17.51,0,82
40.7589,-73.8267,66253.33,70.66,886.49,7,256.56,61.12,0,100
40.5212,-74.1752,4069.79,21.01,69.07,6.37,84.99,5.73,0,8
40.807,-73.951,89735.29,100.9,1085.12,19.1,280.11,76.71,0,97
40.6926,-73.7796,14021.74,106.63,821.24,4.14,72.57,37.24,0,80
40.8166,-73.9414,93542.86,90.72,744.21,18.78,116.5,60.16,0.32,97
40.6092,-74.136,11915.72,131.14,487.01,0,390.57,10.5,0,79
40.8433,-73.9369,156846.15,78.3,706.01,38.52,103.45,40.11,0,98
40.6904,-73.8014,41069.77,117.46,951.11,0.64,72.89,54.43,0,75
40.5433,-74.1809,8595.9,102.5,291.89,0,284.25,2.23,0.95,68
40.6801,-73.9688,57492.96,91.04,1096.58,41.06,514.71,82.76,0.32,97
40.6071,-74.0941,3345.98,93.9,290.62,2.23,443.09,9.87,0.32,64
40.855,-73.9323,143357.14,68.12,717.15,23.24,97.08,41.7,0,90
40.6779,-73.8119,31575.34,106.63,875.99,0,38.83,34.06,0,65
40.7481,-73.9816,49940.3,131.46,1281.2,16.87,839.06,148.97,0,100
40.5357,-74.2415,601.07,46.47,81.81,5.41,916.1,5.09,0.95,39
40.8092,-73.8849,594.71,56.98,254.65,19.1,147.06,7.32,0,70
40.8196,-73.9144,71853.66,95.17,504.2,12.41,114.59,45.52,0,94
40.7046,-73.7431,24657.53,133.05,524.57,0,74.17,42.02,1.27,65
40.6631,-73.9923,43154.76,68.44,913.23,16.23,334.23,33.74,0.32,98
40.8287,-73.9213,170269.23,99.31,436.4,10.5,86.26,30.56,0.32,97
40.5828,-74.1103,1839.56,75.12,245.1,1.91,277.57,16.23,0,77
40.5165,-74.2257,3503.01,47.75,211.36,6.37,686.91,6.68,2.23,26
40.6849,-73.9697,65852.46,84.67,1080.66,21.96,559.91,86.26,0.32,97
40.6087,-74.0117,35375,55.7,671.95,2.55,93.58,45.84,0,86
40.5837,-74.1186,1839.56,46.47,104.41,0,90.08,9.23,0,11
40.6357,-73.9156,27574.47,59.52,883.95,3.5,25.78,43.61,0.32,85
40.6762,-73.9098,70755.1,92.95,1145.28,16.55,116.18,83.72,0,91
40.8505,-73.9206,61564.1,74.8,403.94,26.42,74.8,31.83,0,80
40.6868,-73.9722,57676.92,86.58,1082.89,19.74,555.13,81.81,0.32,99
40.8369,-73.8677,52077.59,77.35,725.75,14.64,101.86,51.88,0,92
40.6328,-74.1256,10573.17,80.21,548.13,2.55,591.1,21.65,1.27,85
