Lat,Lon,Pop Density,Intersections,Pedways,Bikeways,POIs,Transit,WalkScore
41.7541,-87.723,3230.65,30.56,623.89,0.0,30.56,52.2,65
41.9541,-87.6806,20373.02,164.25,2352.95,42.02,309.4,110.77,95
41.8542,-87.6808,18738.59,54.75,1566.08,31.83,215.18,165.52,88
41.7509,-87.5582,15203.19,7.64,2313.48,0.0,82.76,62.39,70
41.7763,-87.587,6791.59,38.2,1573.72,63.66,132.42,120.96,64
41.698,-87.5737,433.81,0.0,70.03,0.0,1.27,0.0,0
41.9449,-87.7374,13690.0,61.12,1819.46,17.83,194.81,80.21,57
41.9041,-87.7089,27873.56,57.3,1862.75,54.75,138.78,80.21,61
41.976,-87.8021,9874.75,19.1,348.87,0.0,57.3,52.2,73
41.6667,-87.5886,433.81,1.27,0.0,0.0,1.27,0.0,0
41.677,-87.6588,4621.3,11.46,1143.37,0.0,50.93,48.38,66
41.7777,-87.5779,6791.59,30.56,935.83,70.03,91.67,115.86,24
41.8273,-87.6989,11099.29,34.38,1354.73,1.27,73.85,152.79,64
41.7386,-87.5409,2102.27,25.46,986.76,12.73,22.92,22.92,36
41.9761,-87.7767,12360.11,57.3,1165.01,5.09,90.4,73.85,77
41.9388,-87.6933,13728.97,117.14,2085.57,169.34,304.3,94.22,87
41.9705,-87.7556,13717.13,85.31,1722.69,35.65,157.88,124.78,83
41.6532,-87.5887,3101.08,2.55,314.49,0.0,20.37,10.19,6
41.8767,-87.6854,26659.09,113.32,2391.14,57.3,1077.16,204.99,81
41.977,-87.6706,18835.44,122.23,2172.15,21.65,263.56,114.59,94
41.7282,-87.6218,9244.05,22.92,1420.94,7.64,38.2,165.52,47
41.7593,-87.62,9600.0,28.01,2023.18,15.28,82.76,147.7,81
41.7433,-87.5703,11389.45,21.65,2111.03,11.46,53.48,100.59,58
41.7311,-87.5353,2102.27,20.37,336.14,31.83,24.19,26.74,10
41.8542,-87.6976,17555.02,38.2,1876.76,53.48,189.71,150.24,77
41.6731,-87.6247,10027.94,5.09,1103.9,3.82,42.02,81.49,45
41.6819,-87.586,433.81,0.0,0.0,0.0,0.0,0.0,1
41.7389,-87.6062,7993.38,15.28,1885.67,3.82,85.31,113.32,85
41.7299,-87.5877,6975.16,15.28,1983.71,2.55,77.67,94.22,73
41.7605,-87.6677,7968.75,16.55,1893.31,6.37,89.13,89.13,60
41.6858,-87.6558,7204.72,14.01,1956.97,5.09,73.85,45.84,59
41.7362,-87.5889,9209.09,11.46,2066.47,0.0,86.58,61.12,86
41.8478,-87.6887,26220.43,31.83,1664.12,29.28,179.53,126.05,85
41.8894,-87.7366,8661.58,34.38,1305.07,2.55,48.38,42.02,54
41.7046,-87.6013,2359.95,8.91,865.8,0.0,58.57,94.22,43
41.8818,-87.7016,34953.12,73.85,2108.48,43.29,152.79,199.9,72
41.78,-87.7177,16396.15,14.01,856.89,8.91,61.12,59.84,78
41.701,-87.7112,8188.65,16.55,86.58,0.0,62.39,53.48,37
41.8433,-87.6254,9282.87,92.95,2349.13,14.01,244.46,180.8,77
41.9577,-87.7566,13781.25,66.21,822.51,5.09,185.89,84.03,89
41.6846,-87.686,7906.25,5.09,450.73,0.0,34.38,38.2,43
