Lat,Lon,Pop Density,Intersections,Pedways,Bikeways,POIs,Transit,WalkScore
39.791,-86.3203,3397.59,0,173.16,0,5.09,0,1
39.8229,-86.2699,5492.04,22.92,114.59,2.55,106.95,10.19,71
39.7014,-86.1999,898.29,0,0,0,0,0,1
39.7626,-86.0184,1043.09,0,0,0,2.55,0,9
39.6441,-86.0837,4310.51,3.82,75.12,0,53.48,0,35
39.8423,-86.0108,5573.77,11.46,47.11,1.27,17.83,0,53
39.756,-86.1955,976.53,7.64,766.49,62.39,104.41,0,35
39.6567,-86.1786,3873.5,3.82,192.26,3.82,3.82,0,26
39.8515,-86.1354,3442.86,5.09,208.81,21.65,92.95,0,81
39.747,-85.9915,572.98,0,64.94,15.28,1.27,0,0
39.6718,-86.2995,2261.04,3.82,5.09,5.09,2.55,2.55,6
39.8191,-85.986,4200.46,0,3.82,12.73,5.09,0,20
39.6694,-86.2003,898.29,7.64,14.01,40.74,2.55,0,8
39.6925,-86.1942,898.29,22.92,0,0,53.48,0,18
39.9188,-86.1743,3733.8,26.74,123.5,0,26.74,0,8
39.8252,-85.9766,4200.46,0,17.83,6.37,3.82,0,22
39.737,-86.0736,1030.53,5.09,1.27,21.65,2.55,0,9
39.9249,-85.9732,1486.51,6.37,96.77,17.83,11.46,0,10
39.6662,-86.0547,3603.97,3.82,203.72,0,14.01,0,26
39.8046,-86.1924,1657.0,0,756.3,56.02,72.57,0,27
39.8868,-86.3078,153.12,0,19.1,5.09,2.55,0,2
39.6697,-86.0127,484.45,2.55,56.02,1.27,34.38,0,17
39.7567,-86.1028,2304.03,0,390.88,48.38,62.39,8.91,39
39.6789,-85.954,484.45,0,8.91,0,5.09,0,2
39.6967,-86.1867,898.29,15.28,0,0,54.75,0,23
39.7822,-86.203,5420.91,29.28,1801.63,28.01,183.35,0,55
39.7545,-86.0263,1398.64,11.46,0,0,59.84,0,28
39.8145,-86.1247,4362.26,5.09,921.83,12.73,118.41,15.28,37
39.8589,-86.0496,2057.92,17.83,10.19,7.64,87.85,0,0
39.8243,-85.9644,4200.46,0,2.55,1.27,2.55,0,7
39.8787,-86.0972,2064.26,11.46,0,19.1,7.64,0,14
39.6943,-86.0472,2728.09,2.55,77.67,1.27,3.82,0,17
39.84,-85.9823,2666.01,0,63.66,3.82,2.55,0,2
39.6665,-86.0545,2728.09,3.82,190.99,0,14.01,0,26
39.6696,-86.2304,898.29,0,0,0,0,0,0
39.776,-86.2969,4868.0,5.09,25.46,0,44.56,1.27,43
39.8707,-86.0865,2064.26,8.91,30.56,22.92,168.07,0,49
39.9135,-85.9611,2341.65,0,54.75,2.55,0,0,2
39.6395,-86.1782,2939.23,0,6.37,0,3.82,0,5
39.7886,-85.9534,3691.55,0,42.02,7.64,11.46,0,5
39.8226,-85.9976,3157.33,0,2.55,0,10.19,1.27,17
39.9062,-86.0107,2423.32,19.1,76.39,0,10.19,0,5
39.8334,-86.3139,1518.45,0,3.82,0,3.82,0,6
39.8682,-86.0588,1995.67,1.27,3.82,6.37,19.1,0,7
39.6755,-86.0049,484.45,0,59.84,0,20.37,0,4
39.714,-86.1305,4042.27,33.1,579.32,29.28,63.66,3.82,49
39.766,-86.0444,1043.09,8.91,104.41,6.37,73.85,2.55,23
39.7499,-86.3207,1772.96,0,38.2,3.82,19.1,0,7
39.6766,-86.1659,2774.93,1.27,0,0,2.55,0,9
39.7689,-86.0566,2485.5,10.19,364.15,11.46,76.39,1.27,53
39.8477,-86.122,3442.86,17.83,99.31,14.01,197.35,11.46,76
39.8154,-86.1193,2768.63,5.09,967.66,12.73,109.5,14.01,49
39.8562,-86.0542,2057.92,12.73,1.27,1.27,70.03,0,1
39.884,-86.0673,1722.55,20.37,22.92,28.01,173.16,0,64
39.7588,-86.1975,2752.43,6.37,842.88,0,124.78,0,37
39.9088,-85.9426,3234.28,5.09,341.23,17.83,1.27,0,3
39.6793,-86.2539,2888.12,0,1.27,0,2.55,0,6
39.8272,-86.1409,7606.44,57.3,902.73,28.01,119.68,34.38,49
39.6961,-86.1304,3191.49,5.09,0,10.19,5.09,0,29
39.8074,-86.0392,1700.87,15.28,62.39,0,128.6,0,5
39.8317,-86.26,4287.78,7.64,505.48,0,73.85,0,43
39.7144,-86.1255,4042.27,29.28,322.13,2.55,34.38,1.27,45
39.696,-86.3114,424.49,0,26.74,0,26.74,0,5
39.8184,-86.0707,2164.05,10.19,30.56,1.27,115.86,1.27,22
39.8802,-85.9448,2667.33,2.55,16.55,10.19,3.82,0,17
39.8733,-86.0983,2064.26,11.46,57.3,61.12,87.85,0,40
39.6917,-86.032,2413.22,0,17.83,2.55,10.19,0,7
39.7577,-86.3223,1772.96,14.01,10.19,0,38.2,0,15
39.868,-86.2785,893.29,5.09,85.31,25.46,22.92,1.27,3
