Lat,Lon,Pop Density,Intersections,Pedways,Bikeways,POIs,Transit,WalkScore
29.5146,-98.4631,4049.24,14.01,31.83,0,43.29,0,68
29.3238,-98.4176,355.24,1.27,0,0,1.27,0,2
29.5239,-98.4841,2291.32,45.84,48.38,0,1589.0,1.27,31
29.2605,-98.3736,157.92,0,0,0,3.82,0,0
29.2633,-98.5722,160.02,0,5.09,3.82,3.82,0,2
29.5387,-98.4457,2788.22,15.28,1.27,16.55,6.37,5.09,35
29.5077,-98.593,11106.75,6.37,8.91,1.27,34.38,2.55,38
29.4095,-98.5414,8778.61,12.73,42.02,1.27,29.28,0,38
29.3804,-98.3988,2780.52,2.55,3.82,1.27,3.82,0,12
29.4781,-98.5201,7072.56,24.19,89.13,0,28.01,0,53
29.3751,-98.6409,4175.85,56.02,166.79,0,26.74,14.01,35
29.5189,-98.4032,1535.0,15.28,45.84,0,15.28,0,29
29.3041,-98.5446,160.02,0,0,2.55,0,0,4
29.4995,-98.5374,4604.61,3.82,618.79,0,28.01,0,55
29.5479,-98.6334,6746.24,10.19,53.48,24.19,52.2,0,6
29.5441,-98.5735,5755.35,34.38,17.83,0,124.78,0,43
29.5267,-98.4159,4824.82,8.91,2.55,0,16.55,1.27,37
29.5576,-98.7261,2.68,0,0,0,0,0,0
29.3307,-98.4653,505.15,0,5.09,1.27,7.64,0,4
29.2838,-98.6193,230.32,0,0,0,0,0,0
29.424,-98.3608,1537.85,1.27,0,0,0,0,6
29.4696,-98.6278,5220.56,10.19,47.11,11.46,147.7,30.56,33
29.3731,-98.4417,5022.54,7.64,49.66,3.82,64.94,0,58
29.6447,-98.447,2267.24,19.1,0,0,100.59,2.55,37
29.4017,-98.4034,2780.52,5.09,5.09,1.27,20.37,0,65
29.3746,-98.4438,5022.54,6.37,39.47,8.91,62.39,0,47
29.4267,-98.4976,2617.07,156.61,1010.95,20.37,408.71,12.73,93
29.4757,-98.3993,2228.62,0,0,0,5.09,0,24
29.226,-98.5352,139.69,0,0,0,0,0,0
29.4513,-98.6592,6913.68,22.92,44.56,2.55,33.1,24.19,15
29.5659,-98.4452,3103.72,0,12.73,2.55,10.19,0,20
29.5895,-98.3975,5568.6,10.19,30.56,3.82,8.91,0,20
29.2963,-98.5793,230.32,0,0,0,2.55,0,2
29.3237,-98.6159,4265.76,0,0,0,3.82,0,1
29.4393,-98.3395,179.8,0,0,0,0,0,1
29.2951,-98.4981,611.83,0,0,0,0,0,0
29.4828,-98.4287,1209.98,2.55,26.74,10.19,20.37,1.27,60
29.5185,-98.5637,11932.82,11.46,7.64,3.82,54.75,0,52
29.3129,-98.4876,611.83,0,3.82,0,1.27,0,0
