Lat,Lon,Pop Density,Intersections,Pedways,Bikeways,POIs,Transit,WalkScore
36.8802,-121.7923,395.26,1.27,0.0,2.55,0.64,0.0,1
33.5039,-84.2779,1120.99,0.0,0.0,0.0,0.64,0.0,4
43.3065,-70.9748,2284.75,15.6,39.15,0.64,34.7,4.46,82
37.2323,-87.5184,71.71,0.0,0.0,0.0,0.0,0.0,0
36.2861,-86.3375,178.67,0.0,0.0,0.0,0.32,0.0,0
38.1285,-83.0978,34.34,0.0,0.32,0.0,0.32,0.0,12
30.196,-93.8361,152.28,0.0,0.0,0.0,0.0,0.0,0
42.1472,-84.0212,121.85,2.55,19.1,1.27,4.46,0.0,12
39.6978,-74.7313,263.24,0.0,0.0,0.0,0.0,0.0,0
26.6657,-80.6413,214.47,0.32,0.0,0.0,0.0,0.0,0
40.8232,-81.3984,2946.37,2.86,28.97,1.59,11.46,0.0,43
42.7478,-89.113,237.45,0.0,5.73,0.0,0.32,0.0,0
45.7794,-84.7348,21.08,2.23,88.17,3.5,30.88,0.95,56
31.4253,-89.5515,92.57,4.77,3.18,0.32,6.05,0.0,10
32.2519,-110.813,3006.04,8.59,26.42,7.0,29.6,1.59,7
40.8839,-75.7336,310.59,0.32,0.0,0.0,5.73,0.0,14
47.1633,-100.7893,6.84,0.32,0.95,0.0,0.64,0.0,13
42.5519,-88.8482,77.55,0.0,0.0,0.0,0.95,0.0,12
43.0525,-78.8057,2231.61,0.0,10.82,0.95,3.18,0.64,5
39.6991,-83.946,1791.34,0.0,62.39,1.59,10.82,0.0,11
38.7433,-121.2537,4853.69,60.8,66.85,51.57,40.74,6.68,71
35.1226,-106.6297,2783.11,6.68,39.47,10.82,10.19,0.0,28
30.5084,-98.393,219.41,0.0,0.0,0.0,0.0,0.0,0
33.6112,-116.1853,101.14,1.27,0.0,0.0,0.0,0.0,0
32.3554,-86.1939,2265.28,0.0,0.32,0.0,0.32,0.0,3
41.4598,-84.4724,68.24,0.0,0.0,0.0,0.0,0.0,0
35.3429,-89.8751,194.46,1.27,0.0,0.0,0.95,0.0,15
41.8616,-124.131,149.46,0.0,0.0,0.0,0.64,0.0,1
40.3294,-80.3635,122.54,0.32,0.0,0.0,0.0,0.0,1
42.5761,-88.963,141.08,0.0,0.0,0.0,0.0,0.0,0
34.4576,-81.9598,118.81,0.0,0.0,0.0,0.0,0.0,0
36.6656,-76.2341,1170.01,2.23,0.0,0.0,11.78,0.0,30
42.2923,-85.1106,304.7,0.0,5.73,2.23,5.09,0.0,1
32.3689,-80.5849,147.89,0.0,0.0,0.0,0.64,0.0,0
26.0956,-97.6197,295.13,0.0,0.0,0.0,0.0,0.0,3
39.2672,-75.6967,155.78,0.64,0.0,0.0,0.0,0.0,0
41.1124,-112.0579,4720.27,6.68,70.35,12.1,11.46,2.86,15
37.5514,-84.9268,134.72,0.0,0.0,0.0,0.0,0.0,0
28.965,-81.2092,684.76,0.0,1.59,0.0,0.0,0.0,0
29.8841,-82.7437,125.34,0.0,0.0,0.0,0.0,0.0,0
36.8678,-81.8239,90.25,0.0,0.0,0.0,0.0,0.0,1
32.9477,-105.9608,714.62,1.27,0.0,0.0,0.95,0.0,16
36.3756,-119.1008,195.34,1.27,0.0,0.0,0.0,0.0,1
43.2336,-89.3493,1790.32,0.32,24.51,5.41,0.64,0.0,20
